City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,sydney,-33.8679,151.2073,20.17,92,75,9.77,AU,1705259076
1,klaksvik,62.2266,-6.589,-2.49,82,100,17.19,FO,1705259893
2,adamstown,-25.066,-130.1015,23.94,76,1,6.66,PN,1705259893
3,prado,-17.3411,-39.2208,28.35,71,7,6.2,BR,1705259893
4,bredasdorp,-34.5322,20.0403,19.96,71,66,2.19,ZA,1705259863
5,st. john's,47.5649,-52.7093,0.99,95,100,8.23,CA,1705259869
6,sao joao da barra,-21.6403,-41.0511,29.05,86,100,3.4,BR,1705259872
7,west island,-12.1568,96.8225,27.99,83,40,3.6,CC,1705259856
8,wodonga,-36.1167,146.8833,18.87,100,75,1.63,AU,1705259894
9,fort bragg,35.139,-79.006,15.51,30,0,9.26,US,1705259883
10,bandarbeyla,9.4942,50.8122,25.75,84,11,6.98,SO,1705259894
11,vorgashor,67.5833,63.95,-32.37,96,96,1.6,RU,1705259880
12,massakory,12.996,15.7293,23.79,11,0,5.02,TD,1705259894
13,monrovia,6.3005,-10.7969,28.87,78,17,5.33,LR,1705259894
14,albany,42.6001,-73.9662,-0.26,80,100,2.68,US,1705259691
15,yellowknife,62.456,-114.3525,-33.66,87,75,1.54,CA,1705259857
16,mar del plata,-38.0023,-57.5575,24.01,50,0,8.49,AR,1705259644
17,ilulissat,69.2167,-51.1,0.01,93,75,3.09,GL,1705259874
18,gadzhiyevo,69.2551,33.3362,-16.57,98,98,2.5,RU,1705259895
19,grytviken,-54.2811,-36.5092,3.4,72,100,1.35,GS,1705259851
20,edinburgh of the seven seas,-37.0676,-12.3116,17.17,71,88,1.6,SH,1705259855
21,kapuskasing,49.4169,-82.4331,-17.95,71,100,6.17,CA,1705259860
22,sola,-13.8833,167.55,27.14,83,100,3.09,VU,1705259895
23,sisimiut,66.9395,-53.6735,-1.18,92,96,4.34,GL,1705259882
24,le vauclin,14.5452,-60.8388,29.03,65,40,8.75,MQ,1705259895
25,blackmans bay,-43.0167,147.3167,12.07,79,35,1.4,AU,1705259860
26,thompson,55.7435,-97.8558,-23.91,70,100,4.63,CA,1705259856
27,naze,28.3667,129.4833,11.51,66,0,3.9,JP,1705259875
28,petropavlovsk-kamchatsky,53.0452,158.6483,-14.75,87,0,4.02,RU,1705259815
29,port alfred,-33.5906,26.891,19.54,99,100,0.45,ZA,1705259852
30,carauari,-4.8828,-66.8958,33.2,49,90,1.28,BR,1705259896
31,goundi,9.3627,17.366,25.7,12,3,2.32,TD,1705259896
32,bel ombre,-4.6167,55.4167,27.91,78,20,1.03,SC,1705259862
33,puerto natales,-51.7236,-72.4875,17.25,48,75,12.35,CL,1705259851
34,limulunga,-15.0969,23.1376,21.57,88,97,2.24,ZM,1705259896
35,stanley,54.868,-1.6985,0.44,78,0,5.14,GB,1705259867
36,umm kaddadah,13.6017,26.6876,18.77,18,91,5.77,SD,1705259896
37,salinas,36.6777,-121.6555,16.14,88,75,5.14,US,1705259896
38,sungai penuh,-2.0833,101.3833,18.68,97,99,1.1,ID,1705259897
39,usogorsk,63.4106,48.6872,-16.3,96,100,3.42,RU,1705259897
40,novodvinsk,64.4165,40.8122,-15.12,96,100,1.62,RU,1705259865
41,colonia,50.9333,6.95,1.65,82,100,5.66,DE,1705259729
42,port mathurin,-19.6833,63.4167,28.33,76,100,4.17,MU,1705259860
43,lihue,21.9789,-159.3672,21.58,68,0,2.57,US,1705259857
44,udachny,66.4167,112.4,-41.2,100,60,1.97,RU,1705259732
45,ruidoso,33.3317,-105.673,12.25,28,0,12.35,US,1705259897
46,iqaluit,63.7506,-68.5145,-4.15,74,100,8.23,CA,1705259854
47,zhaqsy,51.9083,67.3133,-25.36,96,39,5.46,KZ,1705259897
48,itoman,26.1247,127.6694,15.22,77,20,1.03,JP,1705259897
49,elele,5.1009,6.8141,30.01,79,20,2.06,NG,1705259898
50,ancud,-41.8697,-73.8203,14.44,85,100,3.0,CL,1705259867
51,batang,-6.4846,110.7083,27.55,79,100,3.61,ID,1705259898
52,whitehorse,60.7161,-135.0538,-18.83,74,75,11.32,CA,1705259859
53,waitangi,-43.9535,-176.5597,17.68,95,100,4.47,NZ,1705259854
54,invercargill,-46.4,168.35,8.34,85,71,4.02,NZ,1705259860
55,college,64.8569,-147.8028,-15.01,80,100,1.54,US,1705259862
56,hermanus,-34.4187,19.2345,19.31,83,78,1.32,ZA,1705259686
57,rio grande,-32.035,-52.0986,25.06,71,100,4.26,BR,1705259898
58,san antonio de pale,-1.4014,5.6325,27.07,78,25,5.39,GQ,1705259898
59,yarmouth,41.7057,-70.2286,6.65,60,20,7.72,US,1705259898
60,panji,-7.7253,114.0995,26.06,82,100,2.2,ID,1705259899
61,inhambane,-23.865,35.3833,26.99,94,20,2.57,MZ,1705259899
62,ribeira grande,38.5167,-28.7,15.22,72,20,4.63,PT,1705259874
63,princeville,45.7668,-61.2985,5.86,69,40,5.66,CA,1705259899
64,perros-guirec,48.8145,-3.4396,5.28,87,100,1.54,FR,1705259899
65,bassila,9.0081,1.6654,27.77,10,7,1.01,BJ,1705259899
66,bethel,41.3712,-73.414,3.7,55,100,9.26,US,1705259851
67,margaret river,-33.95,115.0667,20.48,79,0,3.1,AU,1705259857
68,inirida,3.8653,-67.9239,32.06,55,95,0.56,CO,1705259900
69,basco,20.4487,121.9702,22.74,66,6,7.94,PH,1705259900
70,namibe,-15.1961,12.1522,21.71,75,78,4.41,AO,1705259900
71,magadan,59.5667,150.8,-25.82,86,3,3.05,RU,1705259640
72,acarau,-2.8856,-40.12,29.36,64,97,7.59,BR,1705259885
73,port-aux-francais,-49.35,70.2167,5.98,70,83,13.45,TF,1705259850
74,punta arenas,-53.15,-70.9167,7.06,81,100,1.54,CL,1705259849
75,laojunmiao,39.8333,97.7333,-3.46,41,100,1.32,CN,1705259900
76,puerto ayora,-0.7393,-90.3518,29.98,90,55,3.58,EC,1705259883
77,borogontsy,62.6683,131.1683,-45.48,100,100,1.4,RU,1705259900
78,sinan,34.8262,126.1086,1.06,65,6,13.04,KR,1705259874
79,papatowai,-46.5619,169.4708,9.02,70,48,7.38,NZ,1705259855
80,susuman,62.7833,148.1667,-36.68,98,100,0.45,RU,1705259901
81,kruisfontein,-34.0033,24.7314,18.05,89,8,2.75,ZA,1705259885
82,yuxi,24.355,102.5422,7.92,90,0,1.25,CN,1705259901
83,ksar el boukhari,35.8889,2.7491,14.04,36,61,2.03,DZ,1705259901
84,yasothon,15.75,104.1333,23.35,72,3,5.67,TH,1705259901
85,san patricio,28.017,-97.5169,16.03,58,67,5.63,US,1705259890
86,mil'kovo,55.6078,37.7956,-9.77,94,100,5.26,RU,1705259901
87,horta,38.5333,-28.6333,14.8,80,20,4.63,PT,1705259901
88,darwin,-12.4611,130.8418,28.3,84,75,12.07,AU,1705259901
89,essaouira,31.5125,-9.77,20.72,14,100,1.03,MA,1705259902
90,fale old settlement,-9.3852,-171.2468,28.91,78,56,5.76,TK,1705259869
91,nova vicosa,-17.8919,-39.3719,29.0,66,13,6.81,BR,1705259859
92,atafu village,-8.5421,-172.5159,29.24,75,84,5.21,TK,1705259859
93,ushuaia,-54.8,-68.3,9.79,57,40,8.23,AR,1705259703
94,tolanaro,-25.0319,46.9987,24.72,88,0,3.78,MG,1705259876
95,novyy urgal,51.0736,132.5642,-27.51,98,100,0.89,RU,1705259902
96,kirensk,57.7853,108.1119,-20.58,98,31,1.34,RU,1705259891
97,wailua homesteads,22.0669,-159.378,21.24,67,0,2.57,US,1705259865
98,mejit,10.2753,170.8646,26.98,70,100,7.64,MH,1705259902
99,porto sant'elpidio,43.2583,13.7583,9.95,53,100,3.77,IT,1705259903
100,christchurch,-43.5333,172.6333,15.85,81,75,4.63,NZ,1705259861
101,sandnessjoen,66.0217,12.6316,-3.94,68,40,3.09,NO,1705259878
102,sinjai,-5.1241,120.253,24.71,89,100,1.77,ID,1705259903
103,polyarnyy,69.1989,33.4478,-16.25,97,91,2.51,RU,1705259874
104,morehead city,34.7229,-76.726,15.04,55,0,7.72,US,1705259903
105,odiongan,12.4017,121.9919,25.37,83,47,7.24,PH,1705259903
106,berezovyy,51.6667,135.7,-21.14,97,100,1.32,RU,1705259903
107,guerrero negro,27.9769,-114.0611,18.84,61,0,6.56,MX,1705259903
108,alo,7.4178,6.7371,28.9,13,5,1.84,NG,1705259904
109,homer,59.6425,-151.5483,1.94,60,20,2.57,US,1705259904
110,kotido,2.9806,34.1331,26.61,42,100,4.22,UG,1705259904
111,alice springs,-23.7,133.8833,27.75,41,40,3.47,AU,1705259885
112,talnakh,69.4865,88.3972,-28.22,81,100,1.22,RU,1705259904
113,tiksi,71.6872,128.8694,-27.33,99,100,0.31,RU,1705259869
114,saipan,15.1355,145.701,26.39,78,100,8.23,MP,1705259856
115,preston,53.7667,-2.7167,3.9,81,9,1.6,GB,1705259644
116,kununurra,-15.7667,128.7333,26.99,94,75,4.63,AU,1705259866
117,chonchi,-42.6128,-73.8092,17.56,78,99,0.82,CL,1705259882
118,youghal,51.95,-7.8506,2.56,90,34,4.26,IE,1705259905
119,aoulef,26.9667,1.0833,18.7,17,96,3.91,DZ,1705259905
120,attapeu,14.8,106.8333,18.27,87,93,1.34,LA,1705259905
121,hamilton,39.1834,-84.5333,-8.75,57,0,4.12,US,1705259640
122,gamay,12.3854,125.2979,24.75,86,100,5.4,PH,1705259905
123,pangai,-19.8,-174.35,28.06,78,40,9.77,TO,1705259905
124,arar,30.9753,41.0381,11.01,46,0,3.6,SA,1705259824
125,katsuren-haebaru,26.3369,127.8719,15.22,67,40,2.57,JP,1705259880
126,arraial do cabo,-22.9661,-42.0278,26.92,83,75,2.06,BR,1705259858
127,walvis bay,-22.9575,14.5053,17.83,85,32,7.2,NA,1705259906
128,kill devil hills,36.0307,-75.676,14.43,38,0,8.23,US,1705259906
129,kodiak,57.79,-152.4072,1.73,60,100,5.66,US,1705259858
130,bilibino,68.0546,166.4372,-29.63,99,100,1.24,RU,1705259868
131,mount pearl,47.5166,-52.7813,0.53,96,100,8.23,CA,1705259906
132,ola,59.5833,151.2833,-25.48,89,14,3.38,RU,1705259859
133,nanao,37.05,136.9667,4.04,97,100,6.63,JP,1705259906
134,tsiombe,-25.3,45.4833,24.19,84,27,6.24,MG,1705259906
135,badagry,6.4167,2.8833,28.28,74,0,4.65,NG,1705259907
136,longyearbyen,78.2186,15.6401,-21.09,71,20,5.14,SJ,1705259853
137,alofi,-19.0595,-169.9187,27.94,78,100,3.6,NU,1705259907
